nazwa,komenda
Dwarven sword 2 schematic,additem('Dwarven sword 2 schematic')
Boots 4 schematic,additem('Boots 4 schematic')
Gnomish sword 2 schematic,additem('Gnomish sword 2 schematic')
Silver sword 3 schematic,additem('Silver sword 3 schematic')
Pants 3 schematic,additem('Pants 3 schematic')
Silver sword 4 schematic,additem('Silver sword 4 schematic')
Pants 4 schematic,additem('Pants 4 schematic')
Silver sword 6 schematic,additem('Silver sword 6 schematic')
Heavy Pants 1 schematic,additem('Heavy Pants 1 schematic')
Silver sword 7 schematic,additem('Silver sword 7 schematic')
Bear School silver sword schematic,additem('Bear School silver sword schematic')
Heavy Pants 4 schematic,additem('Heavy Pants 4 schematic')
Elven silver sword 2 schematic,additem('Elven silver sword 2 schematic')
Gloves 1 schematic,additem('Gloves 1 schematic')
Dwarven silver sword 1 schematic,additem('Dwarven silver sword 1 schematic')
Gloves 2 schematic,additem('Gloves 2 schematic')
Dwarven silver sword 2 schematic,additem('Dwarven silver sword 2 schematic')
Gloves 3 schematic,additem('Gloves 3 schematic')
Gnomish silver sword 1 schematic,additem('Gnomish silver sword 1 schematic')
Gloves 4 schematic,additem('Gloves 4 schematic')
Gnomish silver sword 2 schematic,additem('Gnomish silver sword 2 schematic')
Heavy Gloves 1 schematic,additem('Heavy Gloves 1 schematic')
Heavy Gloves 2 schematic,additem('Heavy Gloves 2 schematic')
Heavy Gloves 3 schematic,additem('Heavy Gloves 3 schematic')
Heavy Gloves 4 schematic,additem('Heavy Gloves 4 schematic')
Gryphon Armor schematic,additem('Gryphon Armor schematic')
Bear Armor schematic,additem('Bear Armor schematic')
Witcher Bear Jacket Upgrade schematic 1,additem('Witcher Bear Jacket Upgrade schematic 1')
Witcher Bear Jacket Upgrade schematic 2,additem('Witcher Bear Jacket Upgrade schematic 2')
Witcher Bear Jacket Upgrade schematic 3,additem('Witcher Bear Jacket Upgrade schematic 3')
Witcher Bear Boots Upgrade schematic 1,additem('Witcher Bear Boots Upgrade schematic 1')
Witcher Bear Pants Upgrade schematic 1,additem('Witcher Bear Pants Upgrade schematic 1')
Bear School silver sword Upgrade schematic 1,additem('Bear School silver sword Upgrade schematic 1')
Bear School silver sword Upgrade schematic 2,additem('Bear School silver sword Upgrade schematic 2')
Bear School silver sword Upgrade schematic 3,additem('Bear School silver sword Upgrade schematic 3')
Witcher Gryphon Jacket Upgrade schematic 1,additem('Witcher Gryphon Jacket Upgrade schematic 1')
Witcher Gryphon Jacket Upgrade schematic 2,additem('Witcher Gryphon Jacket Upgrade schematic 2')
Witcher Gryphon Jacket Upgrade schematic 3,additem('Witcher Gryphon Jacket Upgrade schematic 3')
Witcher Gryphon Boots Upgrade schematic 1,additem('Witcher Gryphon Boots Upgrade schematic 1')
Witcher Gryphon Pants Upgrade schematic 1,additem('Witcher Gryphon Pants Upgrade schematic 1')
Witcher Gryphon Gloves Upgrade schematic 1,additem('Witcher Gryphon Gloves Upgrade schematic 1')
Gryphon School steel sword Upgrade schematic,additem('Gryphon School steel sword Upgrade schematic')
Gryphon School steel sword Upgrade schematic,additem('Gryphon School steel sword Upgrade schematic')
Gryphon School steel sword Upgrade schematic,additem('Gryphon School steel sword Upgrade schematic')
Gryphon School silver sword Upgrade schematic,additem('Gryphon School silver sword Upgrade schematic')
Gryphon School silver sword Upgrade schematic,additem('Gryphon School silver sword Upgrade schematic')
Gryphon School silver sword Upgrade schematic,additem('Gryphon School silver sword Upgrade schematic')
Witcher Lynx Jacket Upgrade schematic 1,additem('Witcher Lynx Jacket Upgrade schematic 1')
Witcher Lynx Jacket Upgrade schematic 2,additem('Witcher Lynx Jacket Upgrade schematic 2')
Witcher Lynx Jacket Upgrade schematic 3,additem('Witcher Lynx Jacket Upgrade schematic 3')
Witcher Lynx Boots Upgrade schematic 1,additem('Witcher Lynx Boots Upgrade schematic 1')
Witcher Lynx Pants Upgrade schematic 1,additem('Witcher Lynx Pants Upgrade schematic 1')
Witcher Lynx Gloves Upgrade schematic 1,additem('Witcher Lynx Gloves Upgrade schematic 1')
Lynx School steel sword Upgrade schematic 1,additem('Lynx School steel sword Upgrade schematic 1')
Lynx School steel sword Upgrade schematic 2,additem('Lynx School steel sword Upgrade schematic 2')
Lynx School steel sword Upgrade schematic 3,additem('Lynx School steel sword Upgrade schematic 3')
Lynx School silver sword Upgrade schematic 2,additem('Lynx School silver sword Upgrade schematic 2')
Lynx School silver sword Upgrade schematic 3,additem('Lynx School silver sword Upgrade schematic 3')
Rune stribog schematic,additem('Rune stribog schematic')
Rune stribog greater schematic,additem('Rune stribog greater schematic')
Rune dazhbog lesser schematic,additem('Rune dazhbog lesser schematic')
Rune dazhbog schematic,additem('Rune dazhbog schematic')
Rune dazhbog greater schematic,additem('Rune dazhbog greater schematic')
Rune devana lesser schematic,additem('Rune devana lesser schematic')
Rune devana schematic,additem('Rune devana schematic')
Rune devana greater schematic,additem('Rune devana greater schematic')
Rune zoria lesser schematic,additem('Rune zoria lesser schematic')
Rune zoria schematic,additem('Rune zoria schematic')
Rune zoria greater schematic,additem('Rune zoria greater schematic')
Rune morana lesser schematic,additem('Rune morana lesser schematic')
Rune morana schematic,additem('Rune morana schematic')
Rune morana greater schematic,additem('Rune morana greater schematic')
Rune triglav lesser schematic,additem('Rune triglav lesser schematic')
Rune triglav schematic,additem('Rune triglav schematic')
Rune triglav greater schematic,additem('Rune triglav greater schematic')
Rune svarog lesser schematic,additem('Rune svarog lesser schematic')
Rune svarog schematic,additem('Rune svarog schematic')
Rune svarog greater schematic,additem('Rune svarog greater schematic')
Rune veles lesser schematic,additem('Rune veles lesser schematic')
Rune veles schematic,additem('Rune veles schematic')
Rune veles greater schematic,additem('Rune veles greater schematic')
Rune perun lesser schematic,additem('Rune perun lesser schematic')
Rune perun schematic,additem('Rune perun schematic')
Rune perun greater schematic,additem('Rune perun greater schematic')
Rune elemental lesser schematic,additem('Rune elemental lesser schematic')
Rune elemental schematic,additem('Rune elemental schematic')
Rune elemental greater schematic,additem('Rune elemental greater schematic')
Short sword 1_crafted,additem('Short sword 1_crafted')
Short sword 2_crafted,additem('Short sword 2_crafted')
No Mans Land sword 1_crafted,additem('No Mans Land sword 1_crafted')
No Mans Land sword 2_crafted,additem('No Mans Land sword 2_crafted')
Skellige sword 1_crafted,additem('Skellige sword 1_crafted')
Nilfgaardian sword 1_crafted,additem('Nilfgaardian sword 1_crafted')
Novigraadan sword 1_crafted,additem('Novigraadan sword 1_crafted')
No Mans Land sword 3_crafted,additem('No Mans Land sword 3_crafted')
Novigraadan sword 4_crafted,additem('Novigraadan sword 4_crafted')
Nilfgaardian sword 4_crafted,additem('Nilfgaardian sword 4_crafted')
Scoiatael sword 3_crafted,additem('Scoiatael sword 3_crafted')
Inquisitor sword 1_crafted,additem('Inquisitor sword 1_crafted')
Inquisitor sword 2_crafted,additem('Inquisitor sword 2_crafted')
Dwarven sword 1_crafted,additem('Dwarven sword 1_crafted')
Dwarven sword 2_crafted,additem('Dwarven sword 2_crafted')
Gnomish sword 1_crafted,additem('Gnomish sword 1_crafted')
Gnomish sword 2_crafted,additem('Gnomish sword 2_crafted')
Silver sword 1_crafted,additem('Silver sword 1_crafted')
Silver sword 2_crafted,additem('Silver sword 2_crafted')
Silver sword 3_crafted,additem('Silver sword 3_crafted')
Silver sword 4_crafted,additem('Silver sword 4_crafted')
Silver sword 6_crafted,additem('Silver sword 6_crafted')
Silver sword 7_crafted,additem('Silver sword 7_crafted')
Elven silver sword 1_crafted,additem('Elven silver sword 1_crafted')
Elven silver sword 2_crafted,additem('Elven silver sword 2_crafted')
Dwarven silver sword 1_crafted,additem('Dwarven silver sword 1_crafted')
Dwarven silver sword 2_crafted,additem('Dwarven silver sword 2_crafted')
Gnomish silver sword 1_crafted,additem('Gnomish silver sword 1_crafted')
Gnomish silver sword 2_crafted,additem('Gnomish silver sword 2_crafted')
Beannshie_crafted,additem('Beannshie_crafted')
Longclaw_crafted,additem('Longclaw_crafted')
Harpy_crafted,additem('Harpy_crafted')
Negotiator_crafted,additem('Negotiator_crafted')
Weeper_crafted,additem('Weeper_crafted')
Boots 01_crafted,additem('Boots 01_crafted')
Boots 02_crafted,additem('Boots 02_crafted')
Boots 03_crafted,additem('Boots 03_crafted')
Boots 04_crafted,additem('Boots 04_crafted')
Heavy boots 01_crafted,additem('Heavy boots 01_crafted')
Heavy boots 02_crafted,additem('Heavy boots 02_crafted')
Heavy boots 03_crafted,additem('Heavy boots 03_crafted')
Heavy boots 04_crafted,additem('Heavy boots 04_crafted')
Heavy Boots 3 schematic,additem('Heavy Boots 3 schematic')
Heavy Boots 4 schematic,additem('Heavy Boots 4 schematic')
Lynx Boots schematic,additem('Lynx Boots schematic')
Lynx Gloves schematic,additem('Lynx Gloves schematic')
Lynx Pants schematic,additem('Lynx Pants schematic')
Gryphon Boots schematic,additem('Gryphon Boots schematic')
Gryphon Gloves schematic,additem('Gryphon Gloves schematic')
Gryphon Pants schematic,additem('Gryphon Pants schematic')
Bear Boots schematic,additem('Bear Boots schematic')
Bear Gloves schematic,additem('Bear Gloves schematic')
Bear Pants schematic,additem('Bear Pants schematic')
Light Armor 2 schematic,additem('Light Armor 2 schematic')
Light Armor 3 schematic,additem('Light Armor 3 schematic')
W_Axe06,additem('W_Axe06')
Fogling 2 mutagen,additem('Fogling 2 mutagen')
Forktail mutagen,additem('Forktail mutagen')
Grave Hag mutagen,additem('Grave Hag mutagen')
Wraith mutagen,additem('Wraith mutagen')
Recipe Lesser Mutagen Red to Blue,additem('Recipe Lesser Mutagen Red to Blue')
Recipe Lesser Mutagen Red to Green,additem('Recipe Lesser Mutagen Red to Green')
Recipe Lesser Mutagen Blue to Red,additem('Recipe Lesser Mutagen Blue to Red')
Recipe Lesser Mutagen Blue to Green,additem('Recipe Lesser Mutagen Blue to Green')
Recipe Lesser Mutagen Green to Red,additem('Recipe Lesser Mutagen Green to Red')
Recipe Lesser Mutagen Green to Blue,additem('Recipe Lesser Mutagen Green to Blue')
Recipe Mutagen Red to Blue,additem('Recipe Mutagen Red to Blue')
Recipe Mutagen Red to Green,additem('Recipe Mutagen Red to Green')
Recipe Mutagen Blue to Red,additem('Recipe Mutagen Blue to Red')
Recipe Mutagen Blue to Green,additem('Recipe Mutagen Blue to Green')
Recipe Mutagen Green to Red,additem('Recipe Mutagen Green to Red')
Recipe Mutagen Green to Blue,additem('Recipe Mutagen Green to Blue')
Recipe Greater Mutagen Red to Blue,additem('Recipe Greater Mutagen Red to Blue')
Recipe Greater Mutagen Red to Green,additem('Recipe Greater Mutagen Red to Green')
Recipe Greater Mutagen Blue to Red,additem('Recipe Greater Mutagen Blue to Red')
Recipe Greater Mutagen Blue to Green,additem('Recipe Greater Mutagen Blue to Green')
Recipe Greater Mutagen Green to Red,additem('Recipe Greater Mutagen Green to Red')
Recipe Greater Mutagen Green to Blue,additem('Recipe Greater Mutagen Green to Blue')
Recipe for Beast Oil 3,additem('Recipe for Beast Oil 3')
Recipe for Cursed Oil 3,additem('Recipe for Cursed Oil 3')
Recipe for Hanged Man Venom 3,additem('Recipe for Hanged Man Venom 3')
Recipe for Hybrid Oil 3,additem('Recipe for Hybrid Oil 3')
Recipe for Insectoid Oil 3,additem('Recipe for Insectoid Oil 3')
Recipe for Magicals Oil 3,additem('Recipe for Magicals Oil 3')
Recipe for Necrophage Oil 3,additem('Recipe for Necrophage Oil 3')
Recipe for Specter Oil 3,additem('Recipe for Specter Oil 3')
Recipe for Vampire Oil 3,additem('Recipe for Vampire Oil 3')
Recipe for Ogre Oil 3,additem('Recipe for Ogre Oil 3')
Recipe for Relic Oil 3,additem('Recipe for Relic Oil 3')
Recipe for Dancing Star 2,additem('Recipe for Dancing Star 2')
Recipe for Dancing Star 3,additem('Recipe for Dancing Star 3')
Recipe for Devils Puffball 1,additem('Recipe for Devils Puffball 1')
Recipe for Devils Puffball 2,additem('Recipe for Devils Puffball 2')
Recipe for Devils Puffball 3,additem('Recipe for Devils Puffball 3')
Recipe for Dragons Dream 1,additem('Recipe for Dragons Dream 1')
Recipe for Dragons Dream 2,additem('Recipe for Dragons Dream 2')
Recipe for Dragons Dream 3,additem('Recipe for Dragons Dream 3')
Recipe for Grapeshot 2,additem('Recipe for Grapeshot 2')
Recipe for Grapeshot 3,additem('Recipe for Grapeshot 3')
Recipe for Samum 2,additem('Recipe for Samum 2')
Recipe for Silver Dust Bomb 1,additem('Recipe for Silver Dust Bomb 1')
Recipe for Silver Dust Bomb 2,additem('Recipe for Silver Dust Bomb 2')
Recipe for Silver Dust Bomb 3,additem('Recipe for Silver Dust Bomb 3')
Recipe for Black Blood 1,additem('Recipe for Black Blood 1')
Recipe for Black Blood 2,additem('Recipe for Black Blood 2')
Recipe for Black Blood 3,additem('Recipe for Black Blood 3')
Recipe for Blizzard 1,additem('Recipe for Blizzard 1')
Recipe for Blizzard 2,additem('Recipe for Blizzard 2')
Recipe for Blizzard 3,additem('Recipe for Blizzard 3')
Recipe for Cat 2,additem('Recipe for Cat 2')
Recipe for Cat 3,additem('Recipe for Cat 3')
Recipe for Bear Pheromone Potion 1,additem('Recipe for Bear Pheromone Potion 1')
Recipe for Drowner Pheromone Potion 1,additem('Recipe for Drowner Pheromone Potion 1')
Recipe for Nekker Pheromone Potion 1,additem('Recipe for Nekker Pheromone Potion 1')
Recipe for Full Moon 1,additem('Recipe for Full Moon 1')
Recipe for Full Moon 2,additem('Recipe for Full Moon 2')
Recipe for Full Moon 3,additem('Recipe for Full Moon 3')
Recipe for Golden Oriole 2,additem('Recipe for Golden Oriole 2')
Recipe for Golden Oriole 3,additem('Recipe for Golden Oriole 3')
Recipe for Killer Whale 1,additem('Recipe for Killer Whale 1')
Recipe for Maribor Forest 2,additem('Recipe for Maribor Forest 2')
Recipe for Petris Philtre 3,additem('Recipe for Petris Philtre 3')
Recipe for Swallow 2,additem('Recipe for Swallow 2')
Recipe for Swallow 3,additem('Recipe for Swallow 3')
Recipe for Tawny Owl 2,additem('Recipe for Tawny Owl 2')
Recipe for Tawny Owl 3,additem('Recipe for Tawny Owl 3')
Recipe for Thunderbolt 1,additem('Recipe for Thunderbolt 1')
Recipe for Thunderbolt 2,additem('Recipe for Thunderbolt 2')
Recipe for Thunderbolt 3,additem('Recipe for Thunderbolt 3')
Recipe for White Honey 2,additem('Recipe for White Honey 2')
Recipe for White Honey 3,additem('Recipe for White Honey 3')
q202_hjalmar_cell_key,additem('q202_hjalmar_cell_key')
q205_key_to_burrow,additem('q205_key_to_burrow')
q206_arnvalds_key,additem('q206_arnvalds_key')
q206_arnvalds_chest_key,additem('q206_arnvalds_chest_key')
q208_yen_room_key,additem('q208_yen_room_key')
q301_crematory_key,additem('q301_crematory_key')
q303_menges_skeleton_key,additem('q303_menges_skeleton_key')
q303_vault_key,additem('q303_vault_key')
q305_key_midgets_house,additem('q305_key_midgets_house')
q503_lockbox_key,additem('q503_lockbox_key')
sq102_barn_door_side_key,additem('sq102_barn_door_side_key')
sq210_underwater_chest_key,additem('sq210_underwater_chest_key')
sq210_underwater_gate2_key,additem('sq210_underwater_gate2_key')
sq210_underwater_gate1_key,additem('sq210_underwater_gate1_key')
sq302_philippa_key,additem('sq302_philippa_key')
sq303_pollys_key,additem('sq303_pollys_key')
sq304_warehouse_key,additem('sq304_warehouse_key')
sq304_wrhs_indoor_key,additem('sq304_wrhs_indoor_key')
sq310_zed_door_key,additem('sq310_zed_door_key')
sq310_triangle_key,additem('sq310_triangle_key')
sq314_prison_key,additem('sq314_prison_key')
mq2003_treasure_chamber_key,additem('mq2003_treasure_chamber_key')
mq3002_chest_key,additem('mq3002_chest_key')
mq2020_slave_cells_key,additem('mq2020_slave_cells_key')
mh207_lighthouse_door_key,additem('mh207_lighthouse_door_key')
mh104_ekimma_house_key,additem('mh104_ekimma_house_key')
mq2020_pirate_lord_house_door,additem('mq2020_pirate_lord_house_door')
mh303_succubus_house_key,additem('mh303_succubus_house_key')
mh304_morge_door_key,additem('mh304_morge_door_key')
mh304_katakan_hideout_door_key,additem('mh304_katakan_hideout_door_key')
mh306_dao_manor_door_key,additem('mh306_dao_manor_door_key')
gp_prologue_key01,additem('gp_prologue_key01')
lw_gr13_slavers_key,additem('lw_gr13_slavers_key')
Silver sapphire ring,additem('Silver sapphire ring')
Fishing rod,additem('Fishing rod')
Haft,additem('Haft')
Broken paddle,additem('Broken paddle')
Broken rakes,additem('Broken rakes')
Wooden rung rope ladder,additem('Wooden rung rope ladder')
Ashes,additem('Ashes')
Valuable fossil,additem('Valuable fossil')
Feather,additem('Feather')
Rotten meat,additem('Rotten meat')
Candle,additem('Candle')
Empty vial,additem('Empty vial')
Inkwell,additem('Inkwell')
Jar,additem('Jar')
Flask,additem('Flask')
Bottle,additem('Bottle')
Jug,additem('Jug')
Fisstech,additem('Fisstech')
Glamarye,additem('Glamarye')
Shell,additem('Shell')
Worn leather pelt,additem('Worn leather pelt')
Scoiatael trophies,additem('Scoiatael trophies')
Fox pelt,additem('Fox pelt')
Nilfgaardian special forces insignia,additem('Nilfgaardian special forces insignia')
Temerian special forces insignia,additem('Temerian special forces insignia')
Redanian special forces insignia,additem('Redanian special forces insignia')
Old sheep skin,additem('Old sheep skin')
Book,additem('Book')
Old bear skin,additem('Old bear skin')
Cow hide,additem('Cow hide')
Melitele figurine,additem('Melitele figurine')
Bandalur butter knife,additem('Bandalur butter knife')
Goblet,additem('Goblet')
Old rusty breadknife,additem('Old rusty breadknife')
Salt pepper shaker,additem('Salt pepper shaker')
Razor,additem('Razor')
Axe head,additem('Axe head')
Pickaxe head,additem('Pickaxe head')
Rusty hammer head,additem('Rusty hammer head')
Blunt axe,additem('Blunt axe')
Blunt pickaxe,additem('Blunt pickaxe')
Chain,additem('Chain')
Dwimeritium shackles,additem('Dwimeritium shackles')
Glowing ingot,additem('Glowing ingot')
Dwimeritium chains,additem('Dwimeritium chains')
Alghoul claw,additem('Alghoul claw')
Harpy talon,additem('Harpy talon')
Gargoyle heart,additem('Gargoyle heart')
Amber dust,additem('Amber dust')
Amber flawless,additem('Amber flawless')
Amethyst flawless,additem('Amethyst flawless')
Black pearl dust,additem('Black pearl dust')
Powdered pearl,additem('Powdered pearl')
Diamond,additem('Diamond')
Diamond flawless,additem('Diamond flawless')
Emerald flawless,additem('Emerald flawless')
Sapphire flawless,additem('Sapphire flawless')
Golden mug,additem('Golden mug')
Golden platter,additem('Golden platter')
Silver pantaloons,additem('Silver pantaloons')
Silverware,additem('Silverware')
Silver teapot,additem('Silver teapot')
Silver mug,additem('Silver mug')
Silver platter,additem('Silver platter')
Ornate silver sword replica,additem('Ornate silver sword replica')
Ornate silver shield replica,additem('Ornate silver shield replica')
Empty bottle,additem('Empty bottle')
Flute,additem('Flute')
Skull,additem('Skull')
q305_painting_of_hemmelfart,additem('q305_painting_of_hemmelfart')
mq3016_bards_belongings,additem('mq3016_bards_belongings')
sq202_tableware,additem('sq202_tableware')
q101_hendrik_trapdoor_key,additem('q101_hendrik_trapdoor_key')
q202_navigator_horn,additem('q202_navigator_horn')
q103_medallion,additem('q103_medallion')
q103_botch_blood,additem('q103_botch_blood')
q103_wooden_doll,additem('q103_wooden_doll')
q103_talisman,additem('q103_talisman')
q103_incense,additem('q103_incense')
q104_oillamp,additem('q104_oillamp')
q105_ravens_feather,additem('q105_ravens_feather')
q105_ritual_dagger,additem('q105_ritual_dagger')
q105_witch_bones,additem('q105_witch_bones')
q106_magic_communicator,additem('q106_magic_communicator')
q106_anabelle_remains,additem('q106_anabelle_remains')
q106_anabelle_vial,additem('q106_anabelle_vial')
q107_doll1,additem('q107_doll1')
q107_doll2,additem('q107_doll2')
q107_doll3,additem('q107_doll3')
q107_doll_anna,additem('q107_doll_anna')
q107_doll5,additem('q107_doll5')
q107_doll6,additem('q107_doll6')
q108_necklet,additem('q108_necklet')
q111_ergot_beer,additem('q111_ergot_beer')
q111_fugas_top_key,additem('q111_fugas_top_key')
q111_falkas_coin,additem('q111_falkas_coin')
q201_mead,additem('q201_mead')
q201_pine_cone,additem('q201_pine_cone')
q201_skull,additem('q201_skull')
q202_shackles,additem('q202_shackles')
q202_sail,additem('q202_sail')
q203_chest_key,additem('q203_chest_key')
q203_broksvard,additem('q203_broksvard')
q205_mirt_green,additem('q205_mirt_green')
q205_mirt_yellow,additem('q205_mirt_yellow')
q205_hvitr_universal_key,additem('q205_hvitr_universal_key')
q205_swallow_green,additem('q205_swallow_green')
q205_swallow_yellow,additem('q205_swallow_yellow')
q206_wine_sample,additem('q206_wine_sample')
q206_herb_mixture,additem('q206_herb_mixture')
q208_heroesmead,additem('q208_heroesmead')
q210_avallach_notes_01,additem('q210_avallach_notes_01')
q210_avallach_notes_02,additem('q210_avallach_notes_02')
q210_avallach_lover_notes,additem('q210_avallach_lover_notes')
q210_solarstein,additem('q210_solarstein')
q301_rose_remembrance,additem('q301_rose_remembrance')
q301_triss_parcel,additem('q301_triss_parcel')
q301_magic_rat_incense,additem('q301_magic_rat_incense')
q301_haunted_doll,additem('q301_haunted_doll')
q301_burdock,additem('q301_burdock')
q302_estate_key,additem('q302_estate_key')
q302_ring_door_key,additem('q302_ring_door_key')
q303_bomb_fragment,additem('q303_bomb_fragment')
q303_bomb_cap,additem('q303_bomb_cap')
q303_wine_bottle,additem('q303_wine_bottle')
q305_dandelion_signet,additem('q305_dandelion_signet')
q309_key_piece1,additem('q309_key_piece1')
q309_key_piece2,additem('q309_key_piece2')
q309_key_piece3,additem('q309_key_piece3')
q310_wine,additem('q310_wine')
q310_lever,additem('q310_lever')
q310_sewer_door_key,additem('q310_sewer_door_key')
q310_cell_key,additem('q310_cell_key')
q401_forktail_brain,additem('q401_forktail_brain')
q401_sausages,additem('q401_sausages')
q401_trial_key_ingredient_b,additem('q401_trial_key_ingredient_b')
q401_bucket_and_rag,additem('q401_bucket_and_rag')
yennefers_omelette_fantasie,additem('yennefers_omelette_fantasie')
q401_disgusting_meal,additem('q401_disgusting_meal')
q505_gems,additem('q505_gems')
sq104_key,additem('sq104_key')
sq201_werewolf_meat,additem('sq201_werewolf_meat')
sq201_cursed_jewel,additem('sq201_cursed_jewel')
sq204_wolf_heart,additem('sq204_wolf_heart')
sq205_fernflower_petal,additem('sq205_fernflower_petal')
sq205_moonshine_spirit,additem('sq205_moonshine_spirit')
sq207_portal_stone_red,additem('sq207_portal_stone_red')
sq207_portal_stone_blue,additem('sq207_portal_stone_blue')
sq208_raghnaroog,additem('sq208_raghnaroog')
sq210_golems_heart,additem('sq210_golems_heart')
sq302_generator_2,additem('sq302_generator_2')
sq303_lesser_white_honey,additem('sq303_lesser_white_honey')
sq304_chemicals,additem('sq304_chemicals')
sq304_aluminium,additem('sq304_aluminium')
sq304_thermite,additem('sq304_thermite')
sq402_florence_flask_with_water,additem('sq402_florence_flask_with_water')
sq302_eyes,additem('sq302_eyes')
sq303_blunt_sword,additem('sq303_blunt_sword')
sq307_cattrap,additem('sq307_cattrap')
sq307_flower,additem('sq307_flower')
sq309_iorweth_arrow,additem('sq309_iorweth_arrow')
sq314_cure_recipe,additem('sq314_cure_recipe')
mq0002_box,additem('mq0002_box')
mq0004_thalers_monocle,additem('mq0004_thalers_monocle')
mq1001_dog_collar,additem('mq1001_dog_collar')
mq1002_artifact_1,additem('mq1002_artifact_1')
mq1006_elf_head,additem('mq1006_elf_head')
mq1010_ring,additem('mq1010_ring')
mq1050_dragon_root,additem('mq1050_dragon_root')
mq1056_chain_cutter,additem('mq1056_chain_cutter')
mq2001_horn,additem('mq2001_horn')
mq2006_key_1,additem('mq2006_key_1')
mq2030_shawl,additem('mq2030_shawl')
mq2037_drakkar_chest_key,additem('mq2037_drakkar_chest_key')
mq2048_stone_medalion,additem('mq2048_stone_medalion')
mq1019_oil,additem('mq1019_oil')
mq3012_soldier_statuette,additem('mq3012_soldier_statuette')
mq3032_basilisk_leather,additem('mq3032_basilisk_leather')
mq3039_loot_chest_key,additem('mq3039_loot_chest_key')
mq1052_monster_trophy,additem('mq1052_monster_trophy')
mq1052_bandit_key,additem('mq1052_bandit_key')
mq2041_dexterity_token,additem('mq2041_dexterity_token')
mq4003_siren_ring,additem('mq4003_siren_ring')
mq4004_boy_remains,additem('mq4004_boy_remains')
mh106_hags_skulls,additem('mh106_hags_skulls')
mh203_water_hag_trophy,additem('mh203_water_hag_trophy')
mh307_minion_lair_key,additem('mh307_minion_lair_key')
q001_academic_book,additem('q001_academic_book')
q101_hendrik_notes,additem('q101_hendrik_notes')
q103_tamara_prayer,additem('q103_tamara_prayer')
q103_letter_from_graden_2,additem('q103_letter_from_graden_2')
q103_about_eve,additem('q103_about_eve')
q103_curse_book,additem('q103_curse_book')
q104_cure_recipe,additem('q104_cure_recipe')
q104_aleksander_letter,additem('q104_aleksander_letter')
q104_avallach_poetry,additem('q104_avallach_poetry')
q106_note_from_keira,additem('q106_note_from_keira')
q106_alexander_notes_02,additem('q106_alexander_notes_02')
q201_poisoned_source,additem('q201_poisoned_source')
q201_mousesack_letter,additem('q201_mousesack_letter')
q205_avallach_book,additem('q205_avallach_book')
q206_arnvalds_letter,additem('q206_arnvalds_letter')
q301_drawing_crib,additem('q301_drawing_crib')
q302_igor_note,additem('q302_igor_note')
q302_dijkstras_notes,additem('q302_dijkstras_notes')
q302_crafter_notes,additem('q302_crafter_notes')
q303_note_for_ciri,additem('q303_note_for_ciri')
q303_contact_note,additem('q303_contact_note')
q304_dandelion_diary,additem('q304_dandelion_diary')
q304_letter_2,additem('q304_letter_2')
q304_dandelion_ballad,additem('q304_dandelion_ballad')
q304_priscilla_letter,additem('q304_priscilla_letter')
q304_ambasador_letter,additem('q304_ambasador_letter')
q304_rosa_lover_letter,additem('q304_rosa_lover_letter')
q305_script_drama_title1,additem('q305_script_drama_title1')
q305_script_drama_title2,additem('q305_script_drama_title2')
q305_script_comedy_title1,additem('q305_script_comedy_title1')
q305_script_comedy_title2,additem('q305_script_comedy_title2')
q305_script_for_irina,additem('q305_script_for_irina')
q308_coroner_msg,additem('q308_coroner_msg')
q308_sermon_1,additem('q308_sermon_1')
q308_sermon_2,additem('q308_sermon_2')
q308_sermon_3,additem('q308_sermon_3')
q308_sermon_4,additem('q308_sermon_4')
q308_sermon_5,additem('q308_sermon_5')
q308_psycho_farewell,additem('q308_psycho_farewell')
q308_vegelbud_invite,additem('q308_vegelbud_invite')
q308_priscilla_invite,additem('q308_priscilla_invite')
q308_anneke_invite,additem('q308_anneke_invite')
q308_last_invite,additem('q308_last_invite')
q308_nathanel_sermon_1,additem('q308_nathanel_sermon_1')
q308_vg_paraffin,additem('q308_vg_paraffin')
q308_vg_guillotine,additem('q308_vg_guillotine')
q309_note_from_varese,additem('q309_note_from_varese')
q309_witch_hunters_orders,additem('q309_witch_hunters_orders')
q309_glejt_from_dijkstra,additem('q309_glejt_from_dijkstra')
q309_mssg_from_triss,additem('q309_mssg_from_triss')
q309_key_letters,additem('q309_key_letters')
q309_key_orders,additem('q309_key_orders')
q310_journal_notes_1,additem('q310_journal_notes_1')
q310_journal_notes_2,additem('q310_journal_notes_2')
q311_lost_diary1,additem('q311_lost_diary1')
q311_lost_diary2,additem('q311_lost_diary2')
q311_lost_diary3,additem('q311_lost_diary3')
q311_lost_diary4,additem('q311_lost_diary4')
q401_yen_journal_2,additem('q401_yen_journal_2')
q310_yen_trinket,additem('q310_yen_trinket')
q310_explorer_note,additem('q310_explorer_note')
q505_nilf_diary_lost1,additem('q505_nilf_diary_lost1')
q505_nilf_diary_lost2,additem('q505_nilf_diary_lost2')
q505_nilf_diary_won1,additem('q505_nilf_diary_won1')
sq101_shipment_list,additem('sq101_shipment_list')
sq102_dolores_diary,additem('sq102_dolores_diary')
sq102_huberts_diary,additem('sq102_huberts_diary')
